fold_id,scenario_name,combo_name,rebalance_date,bucket,stock_count,avg_return
annual_01,base_core_7,combo__equal_weight,2021-05-06,1,6,-0.0006437101
annual_01,base_core_7,combo__equal_weight,2021-05-06,2,5,-0.0010198322
annual_01,base_core_7,combo__equal_weight,2021-05-06,3,5,-0.0005593998
annual_01,base_core_7,combo__equal_weight,2021-05-06,4,5,-0.0004053223
annual_01,base_core_7,combo__equal_weight,2021-05-06,5,5,-0.0003890331
annual_01,base_core_7,combo__equal_weight,2021-09-01,1,5,-0.0006106754
annual_01,base_core_7,combo__equal_weight,2021-09-01,2,5,0.0007570063
annual_01,base_core_7,combo__equal_weight,2021-09-01,3,5,-6.9851e-06
annual_01,base_core_7,combo__equal_weight,2021-09-01,4,5,-0.0005550097
annual_01,base_core_7,combo__equal_weight,2021-09-01,5,5,0.001837878
annual_01,base_core_7,combo__equal_weight,2021-11-01,1,3,-0.0003648191
annual_01,base_core_7,combo__equal_weight,2021-11-01,2,2,-0.0003305454
annual_01,base_core_7,combo__equal_weight,2021-11-01,3,2,0.0003129682
annual_01,base_core_7,combo__equal_weight,2021-11-01,4,2,0.000747371
annual_01,base_core_7,combo__equal_weight,2021-11-01,5,3,-0.0005569789
annual_01,base_core_7,combo__equal_weight,2022-05-05,1,6,0.0002212882
annual_01,base_core_7,combo__equal_weight,2022-05-05,2,5,0.000320554
annual_01,base_core_7,combo__equal_weight,2022-05-05,3,5,-0.0004492299
annual_01,base_core_7,combo__equal_weight,2022-05-05,4,5,-0.0003292126
annual_01,base_core_7,combo__equal_weight,2022-05-05,5,6,-0.0008198707
annual_01,base_core_7,combo__ic_weight_train,2021-05-06,1,6,-0.0006892844
annual_01,base_core_7,combo__ic_weight_train,2021-05-06,2,5,-0.0008786806
annual_01,base_core_7,combo__ic_weight_train,2021-05-06,3,5,-0.000698083
annual_01,base_core_7,combo__ic_weight_train,2021-05-06,4,5,-0.0003531016
annual_01,base_core_7,combo__ic_weight_train,2021-05-06,5,5,-0.0003890331
annual_01,base_core_7,combo__ic_weight_train,2021-09-01,1,5,-0.0006106754
annual_01,base_core_7,combo__ic_weight_train,2021-09-01,2,5,0.0006028591
annual_01,base_core_7,combo__ic_weight_train,2021-09-01,3,5,0.000147162
annual_01,base_core_7,combo__ic_weight_train,2021-09-01,4,5,3.99529e-05
annual_01,base_core_7,combo__ic_weight_train,2021-09-01,5,5,0.0012429153
annual_01,base_core_7,combo__ic_weight_train,2021-11-01,1,3,-0.0003648191
annual_01,base_core_7,combo__ic_weight_train,2021-11-01,2,2,-0.0003305454
annual_01,base_core_7,combo__ic_weight_train,2021-11-01,3,2,0.0003129682
annual_01,base_core_7,combo__ic_weight_train,2021-11-01,4,2,0.000747371
annual_01,base_core_7,combo__ic_weight_train,2021-11-01,5,3,-0.0005569789
annual_01,base_core_7,combo__ic_weight_train,2022-05-05,1,6,0.0002212882
annual_01,base_core_7,combo__ic_weight_train,2022-05-05,2,5,0.0003478836
annual_01,base_core_7,combo__ic_weight_train,2022-05-05,3,5,-0.0003167446
annual_01,base_core_7,combo__ic_weight_train,2022-05-05,4,5,-0.0004890275
annual_01,base_core_7,combo__ic_weight_train,2022-05-05,5,6,-0.0008198707
annual_01,base_core_7,combo__quarterly_plus_annual,2021-05-06,1,6,-0.0005923455
annual_01,base_core_7,combo__quarterly_plus_annual,2021-05-06,2,5,-0.0004921131
annual_01,base_core_7,combo__quarterly_plus_annual,2021-05-06,3,5,-0.0011864238
annual_01,base_core_7,combo__quarterly_plus_annual,2021-05-06,4,5,-0.0002147443
annual_01,base_core_7,combo__quarterly_plus_annual,2021-05-06,5,5,-0.0005419437
annual_01,base_core_7,combo__quarterly_plus_annual,2021-09-01,1,5,-0.0002848361
annual_01,base_core_7,combo__quarterly_plus_annual,2021-09-01,2,5,0.0003322266
annual_01,base_core_7,combo__quarterly_plus_annual,2021-09-01,3,5,4.27635e-05
annual_01,base_core_7,combo__quarterly_plus_annual,2021-09-01,4,5,0.000196626
annual_01,base_core_7,combo__quarterly_plus_annual,2021-09-01,5,5,0.001135434
annual_01,base_core_7,combo__quarterly_plus_annual,2021-11-01,1,3,-1.99725e-05
annual_01,base_core_7,combo__quarterly_plus_annual,2021-11-01,2,2,-4.3502e-05
annual_01,base_core_7,combo__quarterly_plus_annual,2021-11-01,3,2,0.0002403257
annual_01,base_core_7,combo__quarterly_plus_annual,2021-11-01,4,2,-0.0004694919
annual_01,base_core_7,combo__quarterly_plus_annual,2021-11-01,5,3,-0.0002335174
annual_01,base_core_7,combo__quarterly_plus_annual,2022-05-05,1,6,0.0002898667
annual_01,base_core_7,combo__quarterly_plus_annual,2022-05-05,2,5,0.0001203385
annual_01,base_core_7,combo__quarterly_plus_annual,2022-05-05,3,5,5.30805e-05
annual_01,base_core_7,combo__quarterly_plus_annual,2022-05-05,4,5,-0.0005159642
