code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,cash_equivalents,964610000000.0,balance.csv,cash_equivalents,quarterly_direct,identity_q1_or_ytd_diff,
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,settlement_provi,,balance.csv,settlement_provi,,identity_q1_or_ytd_diff,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,lend_capital,226094000000.0,balance.csv,lend_capital,quarterly_direct,identity_q1_or_ytd_diff,
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,trading_assets,66207000000.0,balance.csv,trading_assets,quarterly_direct,identity_q1_or_ytd_diff,
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,bill_receivable,,balance.csv,bill_receivable,,identity_q1_or_ytd_diff,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,account_receivable,,balance.csv,account_receivable,,identity_q1_or_ytd_diff,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,advance_payment,,balance.csv,advance_payment,,identity_q1_or_ytd_diff,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,insurance_receivables,,balance.csv,insurance_receivables,,identity_q1_or_ytd_diff,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,interest_receivable,30801000000.0,balance.csv,interest_receivable,quarterly_direct,identity_q1_or_ytd_diff,
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,other_receivable,,balance.csv,other_receivable,,identity_q1_or_ytd_diff,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,bought_sellback_assets,219605000000.0,balance.csv,bought_sellback_assets,quarterly_direct,identity_q1_or_ytd_diff,
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,inventories,,balance.csv,inventories,,identity_q1_or_ytd_diff,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,other_current_assets,,balance.csv,other_current_assets,,identity_q1_or_ytd_diff,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,2014-04-30,total_current_assets,,balance.csv,total_current_assets,,identity_q1_or_ytd_diff,missing_raw_value
