code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
601328.XSHG,balance,2014-03-31,2014q1,,cash_equivalents,balance.csv,cash_equivalents,964610000000.0,964610000000.0,964610000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,balance,2014-03-31,2014q1,,settlement_provi,balance.csv,settlement_provi,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,lend_capital,balance.csv,lend_capital,226094000000.0,226094000000.0,226094000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,balance,2014-03-31,2014q1,,trading_assets,balance.csv,trading_assets,66207000000.0,66207000000.0,66207000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,balance,2014-03-31,2014q1,,bill_receivable,balance.csv,bill_receivable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,account_receivable,balance.csv,account_receivable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,advance_payment,balance.csv,advance_payment,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,insurance_receivables,balance.csv,insurance_receivables,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,interest_receivable,balance.csv,interest_receivable,30801000000.0,30801000000.0,30801000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,balance,2014-03-31,2014q1,,other_receivable,balance.csv,other_receivable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,balance,2014-03-31,2014q1,,bought_sellback_assets,balance.csv,bought_sellback_assets,219605000000.0,219605000000.0,219605000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,balance,2014-03-31,2014q1,,inventories,balance.csv,inventories,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
